,name,system,lam_ori,lam_ori_up,lam_ori_down,lambda,lambda_up,lambda_down,lambda_ref_link,vsini,vsini_up,vsini_down,teff,teff_up,teff_down,mstar,mstar_up,mstar_down,rstar,rstar_up,rstar_down,period,period_up,period_down,ar,ar_up,ar_down,mplanet,mplanet_up,mplanet_down,rplanet,rplanet_up,rplanet_down,ecc,ecc_up,ecc_down,age,age_up,age_down,prot_lit,prot_lit_up,prot_lit_down,prot_lit_ref_link,istar_lit,istar_lit_up,istar_lit_down,istar_lit_ref_link,psi_lit,psi_lit_up,psi_lit_down,psi_lit_ref_link,psi_lit_flag,psi_lit_comment
10,HAT-P-12b,HAT-P-12,-54.0,41.0,13.0,54.0,13.0,41.0,https://ui.adsabs.harvard.edu/abs/arXiv:1802.03859,0.990000009536743,0.41999998688697804,0.46000000834465005,4665,45,45,0.6909999999999991,0.023,0.023,0.679,0.012999999999999,0.012999999999999,3.213,0.0,0.0,11.930378583917108,0.30328985965710303,0.30328985965710303,0.201,0.012,0.012,0.919,0.023,0.023,0.0,0.035,0.0,2.5,2.0,2.0,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
11,HAT-P-13b,HAT-P-13,1.899999976158142,8.600000381469727,8.600000381469727,1.899999976158142,8.600000381469727,8.600000381469727,https://ui.adsabs.harvard.edu/abs/2010ApJ...718..575W,1.700000047683715,0.40000000596046403,0.40000000596046403,5653,90,90,1.32,0.062,0.062,1.756,0.04599999999999901,0.04599999999999901,2.915999999999999,0.0,0.0,5.367540603677391,0.163417107152138,0.163417107152138,0.906,0.029999999999999003,0.029999999999999003,1.487,0.041,0.041,0.009300000034272001,0.004399999976158001,0.00159999995958,5.0,2.5,0.699999988079071,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
12,HAT-P-14b,HAT-P-14,189.10000610351562,5.099999904632568,5.099999904632568,170.89999389648438,5.099999904632568,5.099999904632568,https://ui.adsabs.harvard.edu/abs/2011AJ....141...63W,8.180000305175781,0.40000000596046403,0.40000000596046403,6600,90,90,1.417999999999999,0.05399999999999901,0.05399999999999901,1.591,0.056,0.056,4.628,0.0,0.0,8.255763208997339,0.308661797296491,0.308661797296491,2.270999999999999,0.083,0.083,1.219,0.058999999999999005,0.058999999999999005,0.10740000000000001,0.0076,0.0079,1.299999952316284,0.40000000596046403,0.40000000596046403,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
13,HAT-P-16b,HAT-P-16,-10.0,16.0,16.0,10.0,16.0,16.0,https://ui.adsabs.harvard.edu/abs/2011A&A...533A.113M,3.900000095367431,0.8000000119209281,0.8000000119209281,6140,72,72,1.216,0.055,0.055,1.157999999999999,0.025,0.025,2.775999999999999,0.0,0.0,7.6695497971707844,0.20167357213668402,0.20167357213668402,4.192999999999999,0.128,0.128,1.189999999999999,0.036999999999999006,0.036999999999999006,0.046199999999999006,0.0027,0.002399999999999,1.299999952316284,0.40000000596046403,0.40000000596046403,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
14,HAT-P-17b,HAT-P-17,19.0,14.0,16.0,19.0,14.0,16.0,https://ui.adsabs.harvard.edu/abs/2013ApJ...772...80F,0.560000002384185,0.11999999731779001,0.140000000596046,5246,80,80,0.8569999999999991,0.039,0.039,0.8379999999999991,0.021,0.021,10.339,0.0,0.0,22.633564010468724,0.671396927069502,0.671396927069502,0.534,0.017999999999999003,0.017999999999999003,1.01,0.029,0.029,0.3417,0.0035999999999990003,0.0035999999999990003,7.800000190734863,0.300000011920928,0.300000011920928,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
15,HAT-P-18b,HAT-P-18,132.0,15.0,15.0,132.0,15.0,15.0,https://ui.adsabs.harvard.edu/abs/2014A&A...564L..13E,1.580000042915344,0.180000007152557,0.180000007152557,4870,50,50,0.77,0.027,0.027,0.7169999999999991,0.025999999999999003,0.025999999999999003,5.508,0.0,0.0,16.765674551295536,0.643189696407228,0.643189696407228,0.196,0.008,0.008,0.9469999999999991,0.043999999999999005,0.043999999999999005,0.0,0.08699999999999901,0.0,12.399999618530273,4.400000095367431,6.400000095367431,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
16,HAT-P-1b,HAT-P-1,3.700000047683715,2.099999904632568,2.099999904632568,3.700000047683715,2.099999904632568,2.099999904632568,https://ui.adsabs.harvard.edu/abs/2008ApJ...686..649J,3.75,0.579999983310699,0.579999983310699,5975,50,50,1.151,0.019,0.019,1.173999999999999,0.025999999999999003,0.027,4.464999999999999,0.0,0.0,10.186222949365648,0.27101843644905205,0.279275026754125,0.525,0.019,0.019,1.319,0.019,0.019,0.0,0.010999999999999,0.0,1.899999976158142,0.600000023841857,0.600000023841857,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
17,HAT-P-20b,HAT-P-20,-8.0,6.900000095367431,6.900000095367431,8.0,6.900000095367431,6.900000095367431,https://ui.adsabs.harvard.edu/abs/2017A&A...601A..53E,1.850000023841857,0.270000010728836,0.270000010728836,4595,45,45,0.748,0.042,0.042,0.68,0.006,0.006,2.875999999999999,0.0,0.0,11.362572932555793,0.13587648737371,0.13587648737371,7.219999999999999,0.35999999999999904,0.35999999999999904,1.024999999999999,0.052999999999999006,0.052999999999999006,0.0158,0.0023,0.0018000000000000002,6.699999809265136,5.699999809265136,3.799999952316284,14.479999542236328,0.019999999552965,0.019999999552965,https://ui.adsabs.harvard.edu/abs/2017A&A...601A..53E,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,36.0,10.0,12.0,https://ui.adsabs.harvard.edu/abs/2017A&A...601A..53E,0,
18,HAT-P-22b,HAT-P-22,-2.099999904632568,3.0,3.0,2.099999904632568,3.0,3.0,https://ui.adsabs.harvard.edu/abs/arXiv:1802.03859,1.649999976158142,0.259999990463256,0.259999990463256,5314,50,50,0.936,0.042999999999999004,0.042999999999999004,1.062,0.048,0.048,3.212,0.0,0.0,8.445863388150466,0.403787384422224,0.403787384422224,2.192,0.076999999999999,0.076999999999999,1.06,0.07299999999999901,0.07299999999999901,0.0,0.002,0.0,12.399999618530273,2.400000095367431,2.400000095367431,28.700000762939453,0.40000000596046403,0.40000000596046403,https://ui.adsabs.harvard.edu/abs/arXiv:1802.03859,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,24.0,18.0,18.0,https://ui.adsabs.harvard.edu/abs/arXiv:1802.03859,0,
19,HAT-P-23b,HAT-P-23,15.0,22.0,22.0,15.0,22.0,22.0,https://ui.adsabs.harvard.edu/abs/2011A&A...533A.113M,7.800000190734863,1.600000023841857,1.600000023841857,5885,72,72,1.104,0.047,0.047,1.089,0.028,0.028,1.213,0.0,0.0,4.545752841448806,0.13286716397960102,0.13286716397960102,2.069999999999999,0.12,0.12,1.224,0.036999999999999006,0.036999999999999006,0.0,0.051999999999999005,0.0,4.0,1.0,1.0,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
